1,Dudukan Cut Out Switch,Cross Arm type 2.000 U-NP 10 t = 5 mm,500,1
2,Dudukan Cut Out Switch,"Double Arm Band ""8 + 2 baut",500,1
3,Dudukan Cut Out Switch,Double Arm Bolt & Nut M. 16 x 400,500,1
4,Dudukan Cut Out Switch,"Arm Tie type 750 - pipe 3/4""",500,1
5,Dudukan Cut Out Switch,Arm Tie Band,500,1
6,Dudukan Lightning Arrester,"Single Arm Band ""6 + baut",500,1
7,Dudukan Lightning Arrester,"Cross Arm type 2.000 U-NP 8 t = 3,2 mm",500,1
8,Dudukan Lightning Arrester,Bolt & Nut M 16 x 50,500,1
9,Dudukan Lightning Arrester,"Arm Tie type 750 - pipe 3/4""",500,1
10,Dudukan Transformator,Cross Arm type 1.500 U-NP 10 t = 5 mm,500,1
11,Dudukan Transformator,"Cross Arm type 750 NP  8 t = 3,2 mm",500,1
12,Dudukan Transformator,"Double Arm Band ""9 + baut",500,1
13,Dudukan Transformator,Double Arm Bolt & Nut M. 16 x 400,500,1
14,Dudukan Transformator,Bolt & Nut M 16 x 50,500,1
15,Dudukan Transformator,"Cross Arm type 1.200 U-NP 6,5 t = 2,5 mm",500,1
16,Dudukan Transformator,"Cross Arm type 1.000 U-NP 6,5 t = 2,5 mm",500,1
17,Dudukan Transformator,"Cross Arm type 900 U-NP 8 t = 3,2 mm",500,1
18,Dudukan Transformator,Arm Tie Band,500,1
19,Dudukan Transformator,Bolt & Nut M 16 x 75,500,1
20,Dudukan Pipa,"Cross Arm type 500 U-NP 8 t = 3,2 mm",500,1
21,Dudukan Pipa,"Klem Begel U 10"" ( 6 x 38 ) t = 4,5 mm",500,1
22,Dudukan Pipa,"Klem Begel U 3"" ( 6 x 38 ) t = 3 mm",500,1
23,Dudukan Pipa,"Klem Begel U 2"" ( 6 x 38 ) t = 3 mm",500,1
24,Dudukan Pipa,Bolt & Nut M 16 x 50,500,1
25,Dudukan LV Panel,"Cross Arm type 900 U-NP 8 t = 3,2 mm",500,1
26,Dudukan LV Panel,"Klem Begel U 11"" ( 6 x 38 ) t = 4,5 mm",500,1
27,Dudukan LV Panel,Bolt & Nut M 16 x 50,500,1
28,Tanda Bahaya,Stainless Steel Strip,500,1
29,Tanda Bahaya,Pelat Tanda Bahaya,500,1
30,Tanda Bahaya,Bolt & Nut M 16 x 50,500,1
31,Dudukan Cut Out Switch,U NP-10 100 x 50 x 5 x 2500,500,2
32,Dudukan Cut Out Switch,"Double Arm Band ""6",500,2
33,Dudukan Lightning Arrester,"U NP-8 80 x 40 x 3,2 x 2500",500,2
34,Dudukan Lightning Arrester,"Single  Arm Band ""6",500,2
35,Dudukan Transformator,Dudukan NP-10 Trafo U NP-10 100 x 50 x 5 x 2500,500,2
36,Dudukan Transformator,"Dasar penyangga dudukan NP-8, 80 x 3,2 x 2000",500,2
37,Dudukan Transformator,Dudukan Trafo NP-8 -750,500,2
38,Dudukan Transformator,Bolt & Nut M 16 x 50,500,2
39,Dudukan Transformator,"Tempat berdiri pelat bordes ( 200 x 2000 x 2,5)",500,2
40,Dudukan Transformator,Siku penghalang belakang -L 50 x50 x 35 x 1750,500,2
41,Dudukan Transformator,Siku penghalang pagar samping  -L 50 x50 x 35 x 465,500,2
42,Dudukan Transformator,"Arm Tie Band 8""",500,2
43,Dudukan Transformator,Alas bordes besi siku L 50 x 50 x 35 x 2000,500,2
44,Dudukan Transformator,Double Arm Band  2 Nut 2pcs,500,2
45,Dudukan Transformator,Tiang penghalang belakang -L 50 x 50 x 35 x 900,500,2
46,Dudukan Transformator,Tiang pagar luar kiri dan kanan L 50 x 50 x 35 x 1800,500,2
47,Dudukan Transformator,Dudukan penghalang kayu jati  -L 50 x 50 x 35 x 260,500,2
48,Dudukan Transformator,Penghalang kayu jati  / L 50 x 50 x 35 x 2000,500,2
49,Dudukan Transformator,"U-NP 65  x 3 x 750 u/ tempat Pipa 2"" + 3""",500,2
50,Dudukan Transformator,"klem begel 35 x 3 x 2"" u/ pipa 2""",500,2
51,Dudukan Transformator,"klem begel 35 x 3 x 3"" u/ pipa 3""",500,2
52,Dudukan LV Panel,"U NP-8 80 x 40 x 3,2 x 2500",500,2
53,Dudukan LV Panel,"Klem Begel 35 x 5 x 10""",500,2
